advertised,actual
151,151
1748.3,1748.3
274.9,274.9
1783.6,1783.6
464.5,464.5
2284.5,2284.5
476.9,476.9
141051.6,141051.6
57005.5,57005.5
3001.2,3001.2
1764.1,1764.1
2277.7,2277.7
3993.5,3993.5
19.9,19.9
8.9,8.9
25.6,-100
25.7,-100
154.3,154.3
365.8,365.8
0,0
4.1,4.1
5.1,5.1
346.8,346.8
6.6,6.6
101.3,101.3
237.7,237.7
